"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,          75,      -4.998447172,      -2.538888309,       -3.34275952,     -0.5348554483
          0,           0,          76,      -5.006712871,      -2.549126521,      -3.355326834,     -0.5454280758
          0,           0,          77,      -5.014541127,      -2.558122138,      -3.366640386,     -0.5453910769
          0,           0,          78,      -5.019568374,      -2.564537388,      -3.378090725,     -0.5634353105
          0,           0,          79,      -5.027757632,      -2.574867755,      -3.390222869,     -0.5732003215
          0,           0,          80,      -5.035525921,      -2.584093428,      -3.401090065,     -0.5717885601
          0,           0,          81,      -5.040544012,      -2.590794401,      -3.412211946,     -0.5898799367
          0,           0,          82,      -5.048659138,      -2.601370854,      -3.423976123,     -0.5990544496
          0,           0,          83,      -5.056364637,      -2.610922296,      -3.434428165,     -0.5964603795
          0,           0,          84,      -5.061374958,      -2.617962716,      -3.445284491,     -0.6152003872
          0,           0,          85,      -5.069418042,      -2.628781731,      -3.456734138,     -0.6242819196
          0,           0,          86,      -5.077061034,      -2.638601558,      -3.466771769,     -0.6211168086
          0,           0,          87,      -5.082065461,       -2.64589565,      -3.477429917,     -0.6412608995
          0,           0,          88,      -5.090039451,      -2.656831613,      -3.488586201,     -0.6508120401
          0,           0,          89,      -5.097624227,      -2.666757387,      -3.498196432,     -0.6478429283
          0,           0,          90,      -5.102623103,      -2.674127733,      -3.508732326,     -0.6699075635
          0,           0,          91,      -5.110531002,      -2.684987872,      -3.519624581,     -0.6802112163
          0,           0,          92,      -5.118064414,      -2.694813615,      -3.528865161,     -0.6780007838
          0,           0,          93,      -5.123055502,      -2.702050747,      -3.539389613,     -0.7019403232
          0,           0,          94,      -5.130900387,       -2.71263736,      -3.550120259,     -0.7128445557
          0,           0,          95,      -5.138390076,       -2.72217737,      -3.559187167,     -0.7115697339
          0,           0,          96,      -5.143369212,      -2.729103472,       -3.56985257,     -0.7367419415
          0,           0,          97,       -5.15115453,      -2.739275959,      -3.580604358,     -0.7477632682
          0,           0,          98,      -5.158606829,      -2.748422027,      -3.589788635,     -0.7472272679
          0,           0,          99,      -5.163569179,      -2.754946716,      -3.600739536,     -0.7726138559
          0,           0,         100,      -5.171298211,      -2.764667196,      -3.611696864,     -0.7831589527
          0,           0,         101,      -5.178715821,      -2.773420667,      -3.621250113,     -0.7828752998
          0,           0,         102,      -5.183656467,      -2.779566095,      -3.632548634,      -0.807418848
          0,           0,         103,      -5.191331069,      -2.788907007,      -3.643798678,     -0.8169695775
          0,           0,         104,      -5.198712179,       -2.79736916,      -3.653814349,     -0.8162498842
          0,           0,         105,      -5.203627109,      -2.803251211,      -3.665401935,     -0.8391753719
          0,           0,         106,      -5.211247608,      -2.812360051,      -3.676892464,     -0.8473827402
          0,           0,         107,       -5.21858733,      -2.820684847,      -3.687276709,     -0.8454634481
