"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   
          0,           0,          63,      -9.434590691,      -9.373251742,      -9.271003785,      -9.024380953,      -8.809198915
          0,           0,          64,      -9.485584814,      -9.425512837,       -9.32313692,      -9.078461748,      -8.860688521
          0,           0,          65,      -9.540463508,      -9.482046027,      -9.367500486,      -9.127717723,      -8.915364207
          0,           0,          66,      -9.600123364,      -9.542679157,      -9.406215595,      -9.173015913,      -8.974254332
          0,           0,          67,      -9.663677998,      -9.605794572,      -9.442357203,       -9.21575145,      -9.036697448
          0,           0,          68,      -9.729051337,      -9.669029895,      -9.478859507,      -9.257483285,      -9.100884228
          0,           0,          69,      -9.793731702,        -9.7301562,      -9.517894294,      -9.299648733,      -9.164553954
          0,           0,          70,      -9.855696271,      -9.787945605,       -9.56073278,      -9.343403964,      -9.225832442
          0,           0,          71,      -9.914219353,      -9.842603528,      -9.607870177,      -9.389566079,      -9.283971559
          0,           0,          72,      -9.970085149,       -9.89547966,      -9.659230146,      -9.438616517,      -9.339584015
          0,           0,          73,      -10.02505032,      -9.948294861,      -9.714353722,      -9.490731739,      -9.394213449
          0,           0,          74,      -10.08097417,      -10.00239359,      -9.772543598,      -9.545818245,      -9.449569754
          0,           0,          75,      -10.13913055,      -10.05833685,      -9.832973938,      -9.603544758,      -9.506884548
          0,           0,          76,      -10.19989846,      -10.11585099,      -9.894777281,      -9.663374697,      -9.566594746
          0,           0,          77,      -10.26276752,      -10.17403467,      -9.957115913,      -9.724610262,       -9.62832196
          0,           0,          78,      -10.32656249,      -10.23173279,      -10.01924121,      -9.786459474,      -9.691061766
          0,           0,          79,      -10.38983788,      -10.28797852,      -10.08054788,      -9.848132849,      -9.753528215
          0,           0,          80,      -10.45136614,      -10.34234731,       -10.1406242,      -9.908960899,       -9.81458226
          0,           0,          81,      -10.51055439,       -10.3950708,      -10.19929244,      -9.968506316,      -9.873607596
          0,           0,          82,      -10.56758489,      -10.44687575,      -10.25662735,      -10.02663378,      -9.930662145
          0,           0,          83,      -10.62321736,      -10.49867178,       -10.3129392,      -10.08351202,      -9.986341974
          0,           0,          84,      -10.67839799,      -10.55126123,      -10.36871833,      -10.13954857,      -10.04145853
          0,           0,          85,      -10.73390064,      -10.60517446,      -10.42455175,      -10.19528524,      -10.09671944
          0,           0,          86,      -10.79013972,      -10.66064287,      -10.48103153,      -10.25129055,      -10.15254278
          0,           0,          87,      -10.84716946,      -10.71766776,      -10.53867507,      -10.30807589,      -10.20903623
          0,           0,          88,      -10.90481311,      -10.77613095,      -10.59786854,      -10.36604462,      -10.26609574
          0,           0,          89,      -10.96284512,       -10.8359048,      -10.65883637,      -10.42547005,      -10.32356026
          0,           0,          90,      -11.02115217,      -10.89692457,       -10.7216317,      -10.48649115,      -10.38135168
          0,           0,          91,      -11.07981368,      -10.95920648,      -10.78614148,      -10.54911716,      -10.43954942
          0,           0,          92,      -11.13908845,      -11.02281517,      -10.85209846,      -10.61323249,      -10.49838482
