"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,          76,      -6.490553374,      -3.492745283,      -4.524388086,     -0.6143052195
          0,           0,          77,      -6.536630527,      -3.538813663,      -4.578133984,     -0.6604178784
          0,           0,          78,      -6.582166516,      -3.584332533,      -4.631734212,     -0.7059661956
          0,           0,          79,      -6.627146159,      -3.629324822,      -4.683381453,     -0.7509766126
          0,           0,          80,       -6.67153096,      -3.673735027,      -4.731814203,     -0.7954025785
          0,           0,          81,      -6.715269628,      -3.717514652,      -4.776720293,     -0.8391980328
          0,           0,          82,      -6.758376207,      -3.760663679,      -4.818930735,     -0.8823650163
          0,           0,          83,      -6.800938972,      -3.803257354,      -4.860033506,     -0.9249782836
          0,           0,          84,       -6.84310981,      -3.845447571,       -4.90157261,     -0.9671882285
          0,           0,          85,      -6.885044425,      -3.887385287,      -4.944582188,      -1.009145468
          0,           0,          86,      -6.926835533,      -3.929175858,      -4.989226846,      -1.050953715
          0,           0,          87,      -6.968480551,      -3.970820694,      -5.034910169,      -1.092614097
          0,           0,          88,      -7.009885807,      -4.012235575,      -5.080510519,      -1.134041085
          0,           0,          89,       -7.05092345,      -4.053292394,      -5.124856284,       -1.17510636
          0,           0,          90,      -7.091498716,      -4.093893152,      -5.167199596,      -1.215712049
          0,           0,          91,      -7.131606374,      -4.134025944,      -5.207505555,      -1.255847265
          0,           0,          92,      -7.171342319,      -4.173779583,      -5.246407871,      -1.295602438
          0,           0,          93,      -7.210867713,      -4.213313036,      -5.284860105,      -1.335137862
          0,           0,          94,      -7.250344712,      -4.252789482,      -5.323724887,       -1.37461766
          0,           0,          95,        -7.2898717,      -4.292313358,      -5.363473075,      -1.414146131
          0,           0,          96,       -7.32944932,      -4.331891439,      -5.404088051,      -1.453729358
          0,           0,          97,      -7.368987513,       -4.37143859,      -5.445150445,      -1.493281128
          0,           0,          98,      -7.408351986,      -4.410821047,      -5.486052322,      -1.532666848
          0,           0,          99,       -7.44742842,      -4.449920804,      -5.526260264,      -1.571768227
          0,           0,         100,      -7.486177676,      -4.488692233,      -5.565527166,      -1.610539969
          0,           0,         101,      -7.524657525,      -4.527186575,      -5.603965432,      -1.649034065
          0,           0,         102,      -7.563001629,      -4.565533932,       -5.64195749,      -1.687381388
          0,           0,         103,      -7.601366331,       -4.60389135,      -5.679962554,      -1.725739456
          0,           0,         104,      -7.639868421,      -4.642380506,      -5.718319701,      -1.764229968
          0,           0,         105,       -7.67854008,      -4.681040619,      -5.757127429,      -1.802891778
          0,           0,         106,      -7.717318085,      -4.719815055,      -5.796234317,      -1.841667698
          0,           0,         107,      -7.756071299,      -4.758576222,      -5.835331422,       -1.88042969
          0,           0,         108,      -7.794655903,       -4.79717937,      -5.874104714,      -1.919032829
          0,           0,         109,      -7.832976711,      -4.835524106,       -5.91238306,      -1.957376935
          0,           0,         110,      -7.871029476,      -4.873598625,      -5.950216606,      -1.995450656
          0,           0,         111,      -7.908906035,      -4.911487728,      -5.987850907,      -2.033339322
          0,           0,         112,      -7.946760088,      -4.949341288,       -6.02561242,      -2.071193162
          0,           0,         113,      -7.984747992,      -4.987316461,      -6.063761061,       -2.10916938
          0,           0,         114,      -8.022968679,      -5.025517347,      -6.102374554,      -2.147371809
          0,           0,         115,        -8.0614256,      -5.063955105,      -6.141309171,        -2.1858111
          0,           0,         116,      -8.100024645,      -5.102543249,      -6.180251312,      -2.224400228
          0,           0,         117,      -8.138609116,       -5.14112993,      -6.218845397,      -2.262987003
          0,           0,         118,      -8.177019925,      -5.179556232,      -6.256850302,      -2.301412475
          0,           0,         119,      -8.215158565,       -5.21771897,      -6.294255121,      -2.339573758
          0,           0,         120,      -8.253028002,      -5.255613135,      -6.331301018,      -2.377466417
          0,           0,         121,      -8.290734325,      -5.293336386,      -6.368393844,      -2.415188714
          0,           0,         122,      -8.328447924,       -5.33105331,      -6.405945776,      -2.452905656
          0,           0,         123,      -8.366339685,      -5.368933697,      -6.444213843,      -2.490787128
          0,           0,         124,      -8.404517403,      -5.407089314,       -6.48319305,       -2.52894453
          0,           0,         125,      -8.442985243,      -5.445532056,      -6.522601126,      -2.567389211
          0,           0,         126,      -8.481640569,      -5.484168194,      -6.561965538,      -2.606026831
          0,           0,         127,      -8.520309976,      -5.522831437,      -6.600792715,      -2.644690514
          0,           0,         128,      -8.558812351,       -5.56134339,      -6.638765337,      -2.683201753
          0,           0,         129,      -8.597027585,      -5.599581055,      -6.675884475,       -2.72143772
          0,           0,         130,      -8.634943923,      -5.637525126,      -6.712486024,      -2.759379691
          0,           0,         131,      -8.672664783,      -5.675269342,      -6.749119941,      -2.797122235
          0,           0,         132,      -8.710371436,      -5.712986825,       -6.78634626,      -2.834839126
          0,           0,         133,      -8.748256244,      -5.750866133,       -6.82453154,      -2.872719152
          0,           0,         134,      -8.786452626,      -5.789042332,      -6.863714422,      -2.910897073
          0,           0,         135,      -8.824985844,      -5.827547443,      -6.903577844,      -2.949404414
          0,           0,         136,      -8.863762629,      -5.866297747,      -6.943538165,      -2.988156767
          0,           0,         137,      -8.902602189,      -5.905121775,      -6.982941738,      -3.026981999
          0,           0,         138,      -8.941300553,      -5.943821357,      -7.021310683,      -3.065681402
          0,           0,         139,      -8.979705661,      -5.982244308,      -7.058542774,      -3.104102808
          0,           0,         140,      -9.017775351,      -6.020342555,      -7.094970223,      -3.142198829
          0,           0,         141,      -9.055595676,      -6.058192112,      -7.131236574,        -3.1800462
          0,           0,         142,      -9.093349967,      -6.095965817,      -7.168054765,      -3.217818531
          0,           0,         143,       -9.13125122,       -6.13387003,      -7.205957163,      -3.255722799
          0,           0,         144,      -9.169466203,      -6.172070042,      -7.245111117,      -3.293924217
