"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,          77,      -3.853986472,        -1.0683058,      -1.821911031,       1.428735785
          0,           0,          78,      -3.910074902,      -1.124957429,      -1.878777896,       1.371244094
          0,           0,          79,      -3.970142795,      -1.185412586,      -1.939234494,       1.310595451
          0,           0,          80,      -4.004089765,      -1.219505091,      -1.973031181,       1.276787982
          0,           0,          81,      -4.030487825,      -1.245987915,      -1.999569763,       1.250242437
          0,           0,          82,      -4.079025466,      -1.294623418,      -2.048607611,       1.201269008
          0,           0,          83,      -4.142296898,       -1.35794636,      -2.112097369,        1.13788119
          0,           0,          84,      -4.192917514,      -1.408532027,      -2.162461178,       1.087561883
          0,           0,          85,      -4.229487148,      -1.445032706,       -2.19901871,       1.051135838
          0,           0,          86,      -4.272702868,      -1.488215093,      -2.242498004,       1.007918552
          0,           0,          87,      -4.331014841,      -1.546552727,      -2.300847228,      0.9497146154
          0,           0,          88,      -4.394906165,      -1.610477403,      -2.364523107,      0.8859303473
          0,           0,          89,      -4.446885305,      -1.662422094,      -2.416468938,       0.833959705
          0,           0,          90,      -4.488127407,      -1.703605013,      -2.457869925,      0.7927946971
          0,           0,          91,      -4.542797366,      -1.758253808,      -2.512513499,      0.7383122044
          0,           0,          92,      -4.617482158,      -1.832918554,      -2.587006744,      0.6637768986
          0,           0,          93,      -4.681964162,      -1.897337814,      -2.651437957,      0.5993148322
          0,           0,          94,      -4.723627576,      -1.938941598,      -2.693205432,      0.5577339123
          0,           0,          95,      -4.779284629,      -1.994579025,      -2.748862974,       0.502273457
          0,           0,          96,       -4.86213375,      -2.077435423,      -2.831591114,      0.4194937879
          0,           0,          97,       -4.93432291,      -2.149629335,      -2.903750201,      0.3471775575
          0,           0,          98,      -4.978979886,      -2.194260363,      -2.948521764,      0.3025516288
          0,           0,          99,      -5.037848041,      -2.253102339,      -3.007421277,      0.2438624688
          0,           0,         100,      -5.125829041,      -2.341087674,      -3.095305814,      0.1559140392
          0,           0,         101,      -5.204029984,      -2.419293013,      -3.173464178,     0.07758395002
          0,           0,         102,       -5.25186566,      -2.467093019,      -3.221410833,     0.02980591371
          0,           0,         103,      -5.312440909,      -2.527648617,      -3.282036923,    -0.03060987696
          0,           0,         104,      -5.405812235,      -2.621046636,      -3.375315168,     -0.1240003589
          0,           0,         105,      -5.489278175,      -2.704530363,      -3.458742621,     -0.2076095878
          0,           0,         106,       -5.53531837,      -2.750542467,       -3.50492143,     -0.2536011733
          0,           0,         107,      -5.598224532,       -2.81343936,      -3.567866963,     -0.3163903974
          0,           0,         108,      -5.700474319,      -2.915714417,      -3.669989521,     -0.4186600855
          0,           0,         109,       -5.78233982,      -2.997595216,      -3.751839196,     -0.5006589096
          0,           0,         110,      -5.822897974,      -3.038130321,      -3.792552551,     -0.5411874317
          0,           0,         111,      -5.894866512,      -3.110085215,      -3.864512031,     -0.6130276988
          0,           0,         112,      -6.004184444,      -3.219431769,      -3.973666004,     -0.7223575771
          0,           0,         113,       -6.07401517,        -3.2892897,      -4.043539157,     -0.7923656295
          0,           0,         114,      -6.115787514,      -3.331026476,      -4.085453401,     -0.8340887976
          0,           0,         115,      -6.201535138,       -3.41675201,      -4.171116211,     -0.9196635043
          0,           0,         116,      -6.307376109,      -3.522643935,      -4.276790067,      -1.025569755
          0,           0,         117,      -6.365445702,       -3.58072811,      -4.334976577,      -1.083836583
          0,           0,         118,      -6.418158852,      -3.633379973,      -4.387780821,      -1.136416736
          0,           0,         119,      -6.512752217,      -3.727969947,      -4.482217177,      -1.230828801
          0,           0,         120,      -6.608523035,      -3.823808344,      -4.577879417,      -1.326766861
          0,           0,         121,      -6.664975932,      -3.880232423,      -4.634494174,      -1.383352658
          0,           0,         122,      -6.728975413,       -3.94417085,      -4.698506667,      -1.447137568
          0,           0,         123,      -6.826029138,      -4.041258389,      -4.795370228,       -1.54407923
          0,           0,         124,      -6.916275703,      -4.131547146,      -4.885605645,      -1.634553173
          0,           0,         125,      -6.975085984,      -4.190296103,      -4.944575894,      -1.693382706
          0,           0,         126,      -7.046177958,      -4.261360435,      -5.015600498,      -1.764232874
